Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Publication Share growth (%),Field-Weighted Citation Impact,Prominence percentile
Quality of Service; Network Architecture; Data Center,TC.654,10.0,0.05,-100.0,0.6,70.634
Mathematical Modeling; Periodic Solution; Optimal Control Theory,TC.751,10.0,0.06,-100.0,0.69,53.303
Thermal Energy Storage; Differential Scanning Calorimetry; Heat Exchanger,TC.441,10.0,0.03,,0.52,97.188
Protected Area; Deforestation; Natural Resource,TC.1129,10.0,0.1,-100.0,0.71,56.835
Surface-Enhanced Raman Spectroscopy; Gold Nanoparticle; Silver,TC.475,10.0,0.06,,1.05,83.388
Heat Exchanger; Heat Transfer Enhancement for Application; Flow Boiling,TC.480,10.0,0.06,-100.0,1.25,68.411
Land Use Change; Geographic Information System; Regional Planning,TC.1238,10.0,0.07,-100.0,1.65,72.923
Financialization; Bankruptcy; Real Estate Sector,TC.1402,10.0,0.12,-100.0,0.2,29.104
Diabetes; Blood Glucose; Cardiovascular System,TC.377,10.0,0.04,-100.0,0.64,92.217
Religiosity; Spiritual Care; Mental Health,TC.1043,10.0,0.1,-100.0,0.8,33.028
Authentication; Network Security; Cloud Computing,TC.198,10.0,0.04,-100.0,0.57,79.791
Imaging Technique; Body Mass Index; Non-Alcoholic Fatty Liver Disease,TC.483,10.0,0.04,,5.53,91.105
Selenium; Dietary Supplement; Randomized Controlled Trial,TC.714,10.0,0.1,,0.42,49.509
Tilapia; Oncorhynchus mykiss; Salmo salar,TC.1049,10.0,0.1,-100.0,0.6,50.491
Translation (Applied Linguistics); Machine Translation; Interpreter,TC.1176,10.0,0.08,-100.0,0.39,20.078
Esophagus; Reflux; Quality of Life,TC.235,10.0,0.05,-100.0,2.41,60.432
Steganography; Watermarking; Data Hiding,TC.609,10.0,0.07,-100.0,0.69,51.864
Structural Change; Industry; Macroeconomics,TC.665,10.0,0.07,,0.37,52.714
Finite Element Method; Vibration Analysis; Journal Bearing,TC.845,10.0,0.09,,0.26,37.345
Environmental Monitoring; Ecosystem Toxicology; Cyprinid,TC.885,10.0,0.12,,0.38,49.64
Queueing Theory; Number; Probability Distribution,TC.1068,10.0,0.11,-100.0,0.15,36.298
Job Satisfaction; COVID-19; Gender Role,TC.1081,10.0,0.08,-100.0,0.45,78.025
Risk Perception; Energy Transition; Climate Change,TC.1322,10.0,0.16,242.9,1.31,34.075
Liquid Crystal; Differential Scanning Calorimetry; Ferroelectricity,TC.165,9.0,0.07,-100.0,0.36,64.814
Intelligent Agent; Artificial Intelligence; Computational Method,TC.672,9.0,0.11,-100.0,0.22,24.526
Heat Exchanger; Energy Engineering; Natural Gas,TC.921,9.0,0.09,-100.0,0.23,54.022
Music Therapy; Auditory Perception; Toddlers,TC.1203,9.0,0.09,,0.45,33.159
Product Design; Engineering; Knowledge Management,TC.496,9.0,0.08,-100.0,2.22,45.062
Long Noncoding RNA; Cell Proliferation; Gene Expression Profiling,TC.640,9.0,0.03,,0.85,95.683
Search Engine; Case-Based Reasoning; Data Mining,TC.807,9.0,0.14,-100.0,0.21,15.566
Superconductivity; Cuprate; Barium,TC.826,9.0,0.21,-100.0,0.25,15.5
Breast Cancer Screening; Health Service; Immigrant,TC.861,9.0,0.07,,0.12,62.459
Strain Rate; Finite Element Method; Ultimate Tensile Strength,TC.1209,9.0,0.13,-100.0,0.43,32.309
Air Traffic Control; Traffic Management System; Antenna,TC.1341,9.0,0.13,1186.2,0.41,18.443
Cell Proliferation; Notch; Western Blot,TC.139,9.0,0.04,-100.0,0.42,89.012
Electroencephalography in Epilepsy; Temporal Lobe; Hippocampus,TC.292,9.0,0.04,429.7,0.52,72.008
Flowshop Scheduling; Integer Programming; Benchmarking,TC.322,9.0,0.05,-100.0,0.4,86.92
Image Enhancement; Video Streaming; Quality of Service,TC.460,9.0,0.04,,0.69,77.436
Metagenomics; Food Microbiology; Escherichia coli,TC.491,9.0,0.05,,0.98,86.069
Randomized Controlled Trial; Pediatrics; Hippocampus,TC.524,9.0,0.05,,0.09,61.086
Quality of Life; Randomized Controlled Trial; Ulcer,TC.658,9.0,0.06,,0.23,56.704
Empathy; Visual Perception; Functional Magnetic Resonance Imaging,TC.284,9.0,0.04,,0.77,79.595
Aluminum; Energetics; Atomizer Nozzle,TC.632,9.0,0.07,-100.0,0.13,49.706
Appendicitis; Computed Tomography; Diverticulitis,TC.734,9.0,0.07,719.6,0.07,21.517
Informed Consent; Clinical Trial; Biomedical Research,TC.758,9.0,0.09,-100.0,0.71,29.627
Martensite; Titanium; Martensitic Transformation,TC.802,9.0,0.08,-100.0,0.44,62.852
Laser Beam Welding; Ultimate Tensile Strength; Arc Welding,TC.1112,9.0,0.11,,0.8,36.364
Land Use Planning; Territory; Regional Planning,TC.1119,9.0,0.1,,0.21,26.619
Polynomial; Commutative Ring; Abelian Group,TC.1221,9.0,0.12,,0.69,7.717
Microelectromechanical System; Atomic Force Microscopy; Piezoelectricity,TC.122,9.0,0.05,-100.0,0.66,66.906
Linguistics; Pronoun; English Language,TC.207,9.0,0.03,,0.24,33.813
RNA Interference; Gene Expression Profiling; Genetics,TC.429,9.0,0.05,461.1,1.91,70.046
Hydrogen; Dehydrogenation; Magnesium,TC.930,9.0,0.1,245.8,1.36,66.645
Cell Proliferation; Antioxidant Capacity; Structure Activity Relationship,TC.1142,9.0,0.14,-100.0,0.29,34.336
Control System; Sliding Mode Control; Robot,TC.107,9.0,0.03,-100.0,0.18,87.77
Computational Fluid Dynamics; Tidal Power; Electric Utility,TC.659,9.0,0.04,,0.12,76.39
Computed Tomography; Cohort Study; Abscess,TC.772,9.0,0.05,370.0,0.03,69.326
Ischemic Stroke; Thrombectomy; Computed Tomography,TC.113,9.0,0.03,-100.0,0.28,86.266
Men Who Have Sex with Men; Pre-Exposure Prophylaxis; Health Service,TC.224,9.0,0.04,650.2,0.31,69.065
Endothelial Cell; Chemotherapy; Vascular Endothelial Growth Factor,TC.319,9.0,0.06,92.4,1.19,76.194
Data Assimilation; Sea Level; Climate Change,TC.868,9.0,0.08,-100.0,0.99,43.296
Starch; Cereal; Common Wheat,TC.952,9.0,0.07,125.8,0.61,73.839
Quality of Life; Cosmetics; Human Study,TC.201,9.0,0.04,407.9,0.06,68.084
Hypothalamus; Ghrelin; Feeding Behavior,TC.414,9.0,0.09,-100.0,0.86,46.305
Water Use Efficiency; Soil Moisture; Irrigation,TC.1404,9.0,0.11,-100.0,1.11,52.06
Data Mining; Graph Neural Network; Social Network Analysis,TC.30,9.0,0.02,,0.79,95.16
Cervical Cancer Screening; Squamous Cell Carcinoma; Cervix Uteri,TC.149,9.0,0.04,255.4,0.34,72.269
Cardiovascular System; Neonatal Infant; Wearable Sensor,TC.636,9.0,0.05,,0.54,65.795
Attention Deficit Hyperactivity Disorder; Tourette Syndrome; Central Nervous System,TC.684,9.0,0.08,-100.0,0.2,57.816
Poisson Distribution; Statistics; Probability Theory,TC.1115,9.0,0.12,-100.0,0.03,12.23
Mechanical Vibration; Control System; Hydraulics,TC.1141,9.0,0.1,-100.0,1.02,37.737
Squamous Cell Carcinoma; Neck; Quality of Life,TC.213,9.0,0.04,,0.42,69.653
Immigrant; Mental Health; Acculturation,TC.695,9.0,0.07,-100.0,0.96,47.678
Cultural Diversity; Internship; Surgeon,TC.965,9.0,0.04,290.6,0.09,70.242
Enzyme; Bacterial Protein; Amino Acids,TC.281,8.0,0.07,-100.0,1.38,54.48
Quantum Dot; Cadmium; Optical Property,TC.298,8.0,0.05,,1.07,82.93
Marine Protected Area; Climate Change; Coral Bleaching,TC.479,8.0,0.04,,0.47,72.335
Computational Fluid Dynamics; Aeroacoustics; Large Eddy Simulation,TC.488,8.0,0.04,-100.0,0.32,58.862
Lead Poisoning; Dose-Response Relationship; Antioxidant,TC.824,8.0,0.07,,0.21,67.56
Finite Element Method; Strain Rate; Elastomer,TC.1200,8.0,0.12,-100.0,0.28,21.844
Neonatal Infant; Intubation; Pediatrics,TC.152,8.0,0.03,-100.0,0.27,65.664
Computed Tomography; Human Study; Peptide Receptor,TC.294,8.0,0.04,-100.0,0.07,67.299
Climate Change; Soil Moisture; Water Use Efficiency,TC.593,8.0,0.05,,0.42,75.67
Advanced Oxidation Process; Sulfur Compound; Polymerization,TC.1163,8.0,0.05,,0.39,96.926
Antioxidant Capacity; Ethnopharmacology; Traditional Medicine,TC.1406,8.0,0.11,,0.42,33.224
Self-Harm; Mental Health; Suicide Risk,TC.895,8.0,0.06,,1.04,65.337
Potable Water; Manganese; Drinking Water Treatment,TC.913,8.0,0.08,,0.55,65.01
Commerce; Pricing; Industry,TC.1169,8.0,0.1,-100.0,0.71,48.659
Computed Tomography; Abscess; Outpatient,TC.1234,8.0,0.12,-100.0,1.12,15.304
First Principle; Density; Electronic Property,TC.550,8.0,0.05,,0.45,68.28
Fluorescent Probe; Fluorescence Spectroscopy; Reactive Oxygen Species,TC.557,8.0,0.06,,0.89,74.886
Information Seeking; Scholarly Communication; Adoption,TC.905,8.0,0.08,-100.0,0.6,26.226
Information System; Enterprise Resource Planning; Cybernetics,TC.1087,8.0,0.11,-100.0,0.41,33.682
Heart Failure with Preserved Ejection Fraction; Randomized Controlled Trial; Quality of Life,TC.442,8.0,0.04,,2.05,82.014
Neonatal Infant; Bacterial Protein; Nasopharynx,TC.549,8.0,0.08,-100.0,0.32,42.642
Geophysics; Electromagnetic Method; Magnetotellurics,TC.641,8.0,0.06,,0.1,39.372
Religion; Religious Education; Christianity,TC.764,8.0,0.06,1090.7,0.26,11.38
Patient Satisfaction; Health Care; Consumer,TC.1144,8.0,0.1,,0.41,23.61
Electrocatalyst; Battery (Electrochemical Energy Engineering); Oxygen Evolution,TC.242,8.0,0.01,,0.89,99.869
Hydraulics; Petroleum Reservoir; Rock Mechanics,TC.336,8.0,0.03,,0.6,66.579
Glycogen Synthase Kinase 3; Mood; Depression,TC.585,8.0,0.07,-100.0,0.39,52.78
Hydraulics; Computational Fluid Dynamics; Vortex,TC.1041,8.0,0.06,,0.84,49.379
Vibration Control; Seismic Response; Seismology,TC.1078,8.0,0.07,-100.0,0.09,54.415
Telemedicine; COVID-19; Consultation,TC.1168,8.0,0.06,,0.69,66.252
Plant Diseases; Genetic Marker; Gene Expression Profiling,TC.144,8.0,0.03,,0.4,88.751
Mitochondrial Protein; Reactive Oxygen Species; Antenna,TC.584,8.0,0.05,-100.0,0.99,81.23
Quality of Life; Survivorship in Cancer Care; Oncology,TC.603,8.0,0.05,,0.41,65.925
Randomized Controlled Trial; Epithelial Cell; Dose-Response Relationship,TC.618,8.0,0.06,-100.0,0.7,49.836
Shoulder Joint; Humerus; Athletes,TC.145,8.0,0.03,-100.0,0.11,64.029
Machining; Diamond; Ultrasonics,TC.196,8.0,0.03,-100.0,0.46,77.698
Computed Tomography; Ureter; Pediatrics,TC.511,8.0,0.05,-100.0,0.24,45.978
Remote Sensing; Coastal Water; Black Sea,TC.1134,8.0,0.09,-100.0,1.37,47.613
Monkeypox; Public Health; COVID-19,TC.1199,8.0,0.08,,3.43,86.462
Computed Tomography; Image Processing; Signal-to-Noise Ratio,TC.454,8.0,0.06,-100.0,0.45,47.482
Mental Health; Schizophrenia; Psychiatry,TC.706,8.0,0.05,,0.04,58.731
Decision Making; Group Processes; Conflict Management,TC.1016,8.0,0.09,-100.0,0.19,51.472
Place Attachment; Territory; Mental Health,TC.1367,8.0,0.11,,0.24,26.422
Aluminum; Incineration; Bauxite,TC.1063,8.0,0.08,-100.0,0.27,63.179
Mediterranean Sea; Stock Assessment; Actinopterygii,TC.1261,8.0,0.1,,0.51,24.853
Robot; Agricultural Science; Maize,TC.1271,8.0,0.07,-100.0,0.67,42.773
Schizophrenia; Psychotic Disorder; Psychiatry,TC.35,7.0,0.02,,0.42,79.922
Parathyroid; Computed Tomography; Osteoporosis,TC.334,7.0,0.04,-100.0,0.08,54.284
Wastewater Treatment; Biochemical Reactor; Activated Sludge,TC.627,7.0,0.04,-100.0,0.3,89.47
Selective Catalytic Reduction; Ammonia; Cerium,TC.645,7.0,0.05,,0.31,73.12
Antenna; Robot; Control System,TC.1233,7.0,0.06,-100.0,0.14,51.668
Railway; Transport; Integer Programming,TC.1301,7.0,0.09,-100.0,1.54,31.524
Psychoanalysis; Psychoanalytic Theory; Group Therapy,TC.106,7.0,0.03,,0.89,22.956
Ankle Joint; Articular Cartilage; Chondrocyte,TC.325,7.0,0.03,,0.71,61.543
Spacecraft; Space Debris; Control System,TC.504,7.0,0.04,-100.0,1.65,41.4
Health Inequality; Discrimination; Socioeconomic Status,TC.533,7.0,0.04,-100.0,0.33,72.204
Intergroup Relations; Prejudice; Discrimination,TC.604,7.0,0.04,,0.0,78.417
Antiplatelet; Percutaneous Coronary Intervention; Platelet,TC.633,7.0,0.07,,0.84,38.849
Differential Scanning Calorimetry; Polypropylene; Nucleation,TC.664,7.0,0.1,-100.0,0.81,30.281
Oxidation Reaction; Plasma Spraying; Scanning Electron Microscopy,TC.692,7.0,0.06,-100.0,0.14,61.151
Engineering; Risk Analysis; Nuclear Power Plant,TC.1184,7.0,0.09,-100.0,0.59,27.992
Agricultural Science; Bee; Foraging Behavior,TC.1439,7.0,0.09,-100.0,0.08,47.547
Client; Quality of Life; Activities of Daily Living,TC.1480,7.0,0.22,,0.2,9.222
Direct Oral Anticoagulant; Randomized Controlled Trial; Human Study,TC.305,7.0,0.03,,1.16,76.324
Neonatal Infant; Blood Glucose; Diabetes,TC.873,7.0,0.06,-100.0,0.26,58.273
Doping; Hippocampus; Behavior (Neuroscience),TC.887,7.0,0.1,-100.0,0.26,27.731
Collective Bargaining; Platform Economy; Taxation,TC.971,7.0,0.06,,0.46,43.754
Dietary Supplement; Iron-Deficiency Anemia; Micronutrient,TC.1089,7.0,0.08,-100.0,0.12,36.691
Nuclear Factor Kappa B; Cell Proliferation; Western Blot,TC.43,7.0,0.04,-100.0,0.73,82.341
Dermatology; Oncology; Clinical Trial,TC.114,7.0,0.02,,0.76,87.116
Systemic Lupus Erythematosus; Quality of Life; Salivary Gland,TC.564,7.0,0.05,,0.66,56.181
Cognitive Radio; Signal Detection; Orthogonal Frequency Division Multiplexing,TC.651,7.0,0.05,,0.17,41.988
Computed Tomography; Image Quality; Ionizing Radiation,TC.1042,7.0,0.09,-100.0,0.56,26.553
Health Service; Household; Delivery of Health Care,TC.1387,7.0,0.1,804.1,1.11,30.608
Computed Tomography; Human Study; Glomerular Filtration Rate,TC.93,7.0,0.03,-100.0,0.09,74.362
Erythrocyte; Sickle Cell; Neonatal Infant,TC.382,7.0,0.04,-100.0,0.1,58.012
Web Service; Quality of Service; Data Mining,TC.451,7.0,0.07,-100.0,0.95,48.201
Personality Trait; Cognitive Function; Psychometrics,TC.516,7.0,0.05,,0.07,62.263
Quality of Life; Dermatology; Clinical Trial,TC.566,7.0,0.03,-100.0,0.52,71.746
Lipase; Enzyme; Amino Acids,TC.867,7.0,0.09,-100.0,0.4,51.014
Calcite; Biomineralization; Scanning Electron Microscopy,TC.1283,7.0,0.1,-100.0,0.57,46.174
Computed Tomography; Human Study; 3D Imaging,TC.190,7.0,0.03,-100.0,0.1,51.602
Computed Tomography; Lung Cancer Screening; Human Study,TC.195,7.0,0.03,,0.11,76.128
Visual Perception; Working Memory; Cognitive Control,TC.234,7.0,0.03,,0.12,70.373
Hippocampus; Cerebral Cortex; Behavior (Neuroscience),TC.352,7.0,0.05,,0.57,71.419
Palladium; Rhodium; Ketones,TC.450,7.0,0.03,,0.41,93.525
Aluminum; Metal Matrix Composite; Ultimate Tensile Strength,TC.843,7.0,0.05,-100.0,0.08,62.394
Aves; Chick; Broiler Chicken,TC.1037,7.0,0.06,-100.0,0.05,49.771
Biodegradation; Agricultural Science; Gas Chromatography,TC.1312,7.0,0.11,-100.0,0.27,38.326
Pituitary Gland; Human Study; Quality of Life,TC.68,7.0,0.03,-100.0,0.34,62.132
Percutaneous Coronary Intervention; Coronary Vessel; Implant,TC.146,7.0,0.03,,0.23,71.288
LGBTQIA+; Transgender; Sexual Behavior,TC.542,7.0,0.03,-100.0,0.76,40.026
Nanozymes; Gold Nanoparticle; Gas Chromatography,TC.579,7.0,0.04,,1.38,92.413
Road; Life Cycle Assessment; Pavement Design,TC.1398,7.0,0.11,,0.23,35.186
Robot; Machine Design; Control System,TC.487,7.0,0.03,-100.0,0.28,75.801
Pre-Service Teacher; Justice; Sociology,TC.574,7.0,0.04,,0.0,47.809
Body Mass Index; Adolescent; Nutrition,TC.765,7.0,0.06,,0.19,48.986
Heat Exchanger; Geothermal Heat Pump; Energy Engineering,TC.883,7.0,0.04,,0.61,66.841
Interprofessional Education; Cultural Competence; Public Health,TC.894,7.0,0.05,-100.0,0.54,50.948
X-Ray Fluorescence Spectroscopy; Pigment; Scanning Electron Microscopy,TC.997,7.0,0.06,,0.19,42.838
Activity Recognition; Machine Learning; Internet of Things,TC.1231,7.0,0.06,-100.0,2.87,61.02
Rhetoric; Genre Analysis; Academic Writing,TC.1443,7.0,0.17,-100.0,0.51,6.475
Nursing Education; Job Satisfaction; Registered Nurse,TC.473,7.0,0.04,,0.16,60.889
Image Processing; Object Recognition; Tracking Algorithm,TC.691,7.0,0.09,,0.24,25.899
Quality of Life; Patient-Reported Outcome; Randomized Controlled Trial,TC.932,7.0,0.06,,2.15,54.938
Industry; Entrepreneurship; Knowledge Transfer,TC.1352,7.0,0.09,-100.0,0.24,44.735
Channel Coding; Information Theory; Satellite Communication Network,TC.704,7.0,0.1,-100.0,0.14,12.557
Water Management; Irrigation; Climate Change,TC.914,7.0,0.04,-100.0,0.7,76.978
Intellectual Property Right; Industry; World Trade Organization,TC.1453,7.0,0.17,,0.47,9.287
Lie Algebra; Tensor; Polynomial,TC.825,6.0,0.06,-100.0,0.67,11.969
Earth Surface Sediment Transport; Salinity; Sea Level Change,TC.1323,6.0,0.11,,0.64,22.368
Next Generation Sequencing; Oncogene Protein; Pediatrics,TC.184,6.0,0.02,,0.26,88.358
Computed Tomography; Quality of Life; Human Study,TC.505,6.0,0.05,,0.27,43.819
Machine Learning; Artificial Intelligence; Auditory Perception,TC.970,6.0,0.06,,0.3,22.76
Pig; Animal Welfare; Sheep,TC.1094,6.0,0.07,-100.0,0.39,37.475
Transcatheter Aortic Valve Replacement; Computed Tomography; Prosthetics,TC.204,6.0,0.02,,0.16,74.951
Computed Tomography; Optic Nerve; Nasal Septum,TC.276,6.0,0.03,-100.0,0.86,43.231
Chromatography; High Performance Liquid Chromatography; Silicon Dioxide,TC.387,6.0,0.06,781.5,1.04,43.035
Software Testing; Open Source Software; Web Application,TC.988,6.0,0.08,-100.0,0.52,24.395
Kriging; Geostatistics; Interpolation,TC.1319,6.0,0.09,-100.0,1.04,26.03
Thoracic Aneurysm; Computed Tomography; Stent-Graft,TC.33,6.0,0.02,-100.0,0.27,73.643
Seismology; Seismic Response; Full-Waveform Inversion,TC.77,6.0,0.02,-100.0,1.53,51.406
Quality of Life; Glomerular Filtration Rate; Intensive Care Unit,TC.186,6.0,0.03,,0.27,67.037
Omega 3 Fatty Acid; Eicosapentaenoic Acid; Dietary Supplement,TC.775,6.0,0.05,-100.0,1.7,58.47
Percutaneous Coronary Intervention; Human Study; Emergency Medical Service,TC.844,6.0,0.08,,2.38,22.171
Drug-Drug Interaction; Enzyme; Dose-Response Relationship,TC.857,6.0,0.08,,0.22,36.037
DNA; Genetics; Fossil,TC.879,6.0,0.07,664.8,0.08,39.765
Artificial Intelligence; Decision Making; Tree Search,TC.1103,6.0,0.07,-100.0,0.81,32.505
Finite Element Method; Dynamic Loads; Rock Mechanics,TC.1330,6.0,0.07,-100.0,0.64,41.857
Ruthenium; Silver; Phosphorus Compound,TC.1446,6.0,0.29,,0.1,9.876
Image Processing; Strain; Optics,TC.116,6.0,0.02,,0.26,65.533
Computed Tomography; Myositis; Muscle Disorder,TC.315,6.0,0.02,,0.26,79.071
Discrimination; Educational Policy; Regression Analysis,TC.841,6.0,0.04,-100.0,0.34,50.164
Fossil; Pleistocene; Miocene,TC.972,6.0,0.06,,0.21,29.954
Infection Control; Hand Hygiene; Health Care,TC.1070,6.0,0.07,-100.0,0.28,25.311
Foreign Policy; International Relation; Belt and Road Initiative,TC.87,6.0,0.02,,0.47,61.805
Gaussian Distribution; Signal-to-Noise Ratio; Photonics,TC.331,6.0,0.02,,0.12,94.441
Mental Health; Post Traumatic Stress Disorder; Social Support,TC.339,6.0,0.02,,0.15,82.865
Stomach Cancer; Helicobacter Pylori Infection; Pharmacotherapy,TC.354,6.0,0.05,-100.0,0.34,60.366
Cloud Computing; Quality of Service; Web Service,TC.682,6.0,0.1,-100.0,0.18,17.266
Soil Moisture; Vegetation; Climate Change,TC.789,6.0,0.04,-100.0,0.15,60.17
Pig; High Performance Liquid Chromatography; Bovine Respiratory Disease,TC.847,6.0,0.07,,0.29,41.53
Research Design; Randomized Controlled Trial; Meta-Analysis,TC.1302,6.0,0.06,,0.04,42.119
Police; Procedural Justice; Use of Force,TC.1413,6.0,0.09,-100.0,0.41,17.724
Dose-Response Relationship; Anti-Inflammatory Drug; Cell Proliferation,TC.392,6.0,0.07,-100.0,1.36,34.532
Fluorescence Spectroscopy; Molecular Receptor Sensor; Fluorescent Probe,TC.562,6.0,0.04,,0.02,75.213
Fiber Optics; Photonics; Supercontinuum Generation,TC.669,6.0,0.06,,0.41,30.412
Welfare; Immigrant; Older Worker,TC.907,6.0,0.05,,0.51,34.205
Plant Diseases; Ascomycota; DNA,TC.919,6.0,0.05,,0.02,46.501
Zostera; Macroalgae; Climate Change,TC.1088,6.0,0.06,-100.0,0.37,48.332
Time Series Analysis; Electroencephalography; Information Theory,TC.1236,6.0,0.06,-100.0,0.12,25.245
Nuclear Power Plant; Robot; Engineering,TC.901,6.0,0.04,-100.0,0.15,54.872
Chagas Disease; Plasmodium falciparum; Elimination,TC.1138,6.0,0.07,,0.56,31.262
Forestry; Climate Change; Environmental Monitoring,TC.1374,6.0,0.14,,0.09,22.041
Property Right; Political Ecology; Ownership,TC.1461,6.0,0.12,,0.39,13.996
Amplifier; Electronic Circuit; Approximation (Algorithm),TC.222,6.0,0.04,,0.8,36.756
Salmonella; Campylobacter; Escherichia coli,TC.230,6.0,0.04,,0.17,64.617
Computed Tomography; Human Study; Tibia,TC.575,6.0,0.04,-100.0,0.21,41.661
Cost Benefit Analysis; Clinical Trial; Quality of Life,TC.743,6.0,0.04,,1.01,56.638
Intellectual Disability; Array Comparative Genomic Hybridization; Genetics,TC.858,6.0,0.05,,0.12,47.351
Cleft; Orthodontics; Palate,TC.938,6.0,0.06,,0.32,28.973
Aluminum Oxide; Mullite; Scanning Electron Microscopy,TC.1130,6.0,0.09,-100.0,0.49,28.385
DNA; RNA; Bacterial Protein,TC.17,5.0,0.02,-100.0,0.18,84.63
Desensitization; Immunoglobulin E; Enzyme-Linked Immunosorbent Assay,TC.267,5.0,0.03,,0.11,70.438
Anura; Endangered Species; Ultraviolet Radiation,TC.317,5.0,0.03,,0.12,49.967
Bacterial Protein; Neonatal Infant; Neonate,TC.456,5.0,0.04,-100.0,0.26,72.139
Upper Limb; Equipment Design; Neonatal Infant,TC.514,5.0,0.03,,0.93,31.197
Biological Model; Genetics; Enzyme,TC.560,5.0,0.03,,0.76,71.812
Colorectal Cancer; Chemotherapy; Pharmacogenomics,TC.666,5.0,0.04,-100.0,0.4,49.902
Multiple Drug Resistance; Chemotherapy; Oncology,TC.705,5.0,0.05,-100.0,1.35,62.328
Plant Diseases; RNA; Viral Protein,TC.726,5.0,0.04,,0.11,45.716
Surfactant; Micelle; Transmission Electron Microscopy,TC.773,5.0,0.08,658.3,0.23,38.129
Computed Tomography; Magnetic Resonance Imaging; Neurosurgery,TC.820,5.0,0.04,,0.4,30.674
Amaranth; Antioxidant Capacity; Scanning Electron Microscopy,TC.1064,5.0,0.05,-100.0,0.18,26.88
Antioxidant Capacity; High Performance Liquid Chromatography; Anti-Inflammatory Drug,TC.1290,5.0,0.07,,0.42,31.131
Ethiopia; Forestry; Natural Resource,TC.1451,5.0,0.11,,2.13,15.762
Local Government; Taxation; Finance,TC.1490,5.0,0.14,626.9,0.22,10.399
Macrophage; Computed Tomography; Polymerase Chain Reaction,TC.277,5.0,0.03,-100.0,0.26,53.891
Robot; Manipulator; Finite Element Method,TC.457,5.0,0.03,,1.25,48.267
Network Security; Quality of Service; Time-Sensitive Networking,TC.810,5.0,0.05,,0.14,34.009
Image Enhancement; Signal-to-Noise Ratio; Object Recognition,TC.1170,5.0,0.06,,0.57,27.6
Inertial Navigation; Kalman Filtering; Microelectromechanical System,TC.1223,5.0,0.07,-100.0,0.72,17.005
Vascular Endothelium; Nitric Oxide Synthase; Endothelial Function,TC.393,5.0,0.06,-100.0,1.02,30.477
Democracy; Civil Society; Russia,TC.749,5.0,0.03,-100.0,0.66,44.408
Residual Stress; Electrical Steel; Finite Element Method,TC.795,5.0,0.04,-100.0,0.58,47.744
TV; Social Media; Cultural Studies,TC.1153,5.0,0.05,,0.37,13.211
Behavior (Neuroscience); Striatum; Drug Combination,TC.1182,5.0,0.11,-100.0,0.67,17.593
RNA; Gene Expression Profiling; Cell Proliferation,TC.42,5.0,0.01,-100.0,0.17,96.337
DNA; Gene Expression Profiling; RNA,TC.274,5.0,0.04,955.0,0.15,62.001
Clinical Trial; T Cell; Adoptive Immunotherapy,TC.337,5.0,0.02,-100.0,0.24,93.067
Carbide; Tungsten; Scanning Electron Microscopy,TC.891,5.0,0.05,,0.12,45.193
Condensation Reaction; Structure Activity Relationship; Green Chemistry,TC.945,5.0,0.05,,0.08,59.32
Robot; Manipulator; Spacecraft,TC.1034,5.0,0.04,-100.0,0.09,45.651
Ruthenium; Hydroformylation; Iridium,TC.1045,5.0,0.08,-100.0,0.23,41.138
Two Phase Flow; Slug Flow; Hydraulics,TC.1148,5.0,0.06,,0.86,23.806
Social Media; Information System; Internet of Things,TC.1357,5.0,0.05,-100.0,0.25,41.727
Beta Cell; Diabetes; Pancreatic Islet,TC.179,5.0,0.03,,0.1,68.672
Cell Proliferation; Diabetes; Macrophage,TC.254,5.0,0.03,,0.2,74.428
Cosmetics; Animal Testing; Thiazole,TC.862,5.0,0.07,,0.19,23.218
Digital Signal Processing; Integrated Circuit Design; Theory of Computation,TC.955,5.0,0.07,-100.0,0.37,12.492
Climate Change; Environmental Niche Modeling; Protected Area,TC.1296,5.0,0.04,,6.12,57.096
Animal Welfare; Behavior (Neuroscience); Mink,TC.1430,5.0,0.14,,0.73,10.791
Integrated Circuit Design; Network Architecture; Programmable Logic Controller,TC.238,5.0,0.03,,1.81,44.67
Computed Tomography; Neonatal Infant; Esophagus,TC.261,5.0,0.03,-100.0,0.43,46.37
Query Processing; Cloud Computing; Input/Output,TC.527,5.0,0.04,-100.0,0.18,26.357
Genetics; Environmental Justice; Genome Wide Association Study,TC.766,5.0,0.04,,4.15,64.552
Health Service; Health Care Cost; Health Insurance Coverage,TC.1227,5.0,0.06,,0.6,28.058
Annotation; Ontology; Semantic Web,TC.1436,5.0,0.2,-100.0,0.0,4.12
Biomimetics; Siluriformes; Robot,TC.863,5.0,0.05,-100.0,0.31,34.598
Pomegranate; Plant Diseases; Antioxidant,TC.1317,5.0,0.06,,0.19,51.929
Gaussian Distribution; Regression Analysis; Model Selection,TC.422,5.0,0.03,,0.23,46.566
Zeolite; Silicon Dioxide; Methanol,TC.503,5.0,0.04,,0.31,64.683
Toxoplasma gondii; Polymerase Chain Reaction; Cryptosporidium,TC.780,5.0,0.05,-100.0,0.33,42.969
Eel; Parasite (Microbiology); Freshwater Fish,TC.915,5.0,0.06,,0.3,21.321
Software Engineering; Information System; Artificial Intelligence,TC.1342,5.0,0.13,,0.22,12.884
Zircon; Geochronology; Mineralogy,TC.31,5.0,0.01,,0.13,81.557
